Run Date: 10-apr-2014 
Semester: Fall 2014

 
Course	Title	Units	Lec/Sec	Days	Begin	End	Bldg/Room	Location	Instructor(s)
Aerospace Studies-ROTC	 	 	 	 	 	 	 	 	 	 
 	 	 	C	TR	01:30PM	04:20PM	DH B305	Pittsburgh, Pennsylvania	Instructor TBA
60104	Contemporary Issues Forum	6.0	A	T	12:00PM	01:20PM	CFA 102	Pittsburgh, Pennsylvania	Ragona
 	 	 	 	T	05:00PM	06:20PM	DNM DNM	Pittsburgh, Pennsylvania
60110	Electronic Media Studio: Introduction to the Moving Image	10.0	A	MW	01:30PM	04:20PM	CFA 318	Pittsburgh, Pennsylvania	Andrew
60130	3-D Media Studio I:	5.0	 	 	 	 	 	 
 	The Structural Imagination	 	A1	MW	01:30PM	04:20PM	DH D200	Pittsburgh, Pennsylvania	Reiman
 	3-D Media Studio I:	 	 	 	 	 	 	 
 	The Structural Imagination	 	A2	MW	01:30PM	04:20PM	DH D200	Pittsburgh, Pennsylvania	Reiman
 	3-D Media Studio I:	 	 	 	 	 	 	 
 	Clay Sculpture	 	B1	MW	01:30PM	04:20PM	DH B301	Pittsburgh, Pennsylvania	Mannino
 	3-D Media Studio I:	 	 	 	 	 	 	 
 	Clay Sculpture	 	B2	MW	01:30PM	04:20PM	DH B301	Pittsburgh, Pennsylvania	Mannino
 	3-D Media Studio I:	 	 	 	 	 	 	 
 	Wearables	 	C1	TR	06:30PM	09:20PM	DH B303	Pittsburgh, Pennsylvania	Droege
 	3-D Media Studio I:	 	 	 	 	 	 	 
 	Wearables	 	C2	TR	06:30PM	09:20PM	DH B303	Pittsburgh, Pennsylvania	Droege
 	3-D Media Studio I:	 	 	 	 	 	 	 
 	Hey Robot, Let's Make Something	 	D1	TR	06:30PM	09:20PM	CFA 317	Pittsburgh, Pennsylvania	Gurysh
 	 	 	 	TR	06:30PM	09:20PM	DH C200	Pittsburgh, Pennsylvania
 	3-D Media Studio I:	 	 	 	 	 	 	 
 	Hey Robot, Let's Make Something	 	D2	TR	06:30PM	09:20PM	CFA 317	Pittsburgh, Pennsylvania	Gurysh
 	 	 	 	TR	06:30PM	09:20PM	DH C200	Pittsburgh, Pennsylvania
60141	Black and White Photography I	10.0	A	MW	01:30PM	04:20PM	MM B10	Pittsburgh, Pennsylvania	Gruzska
 	 	 	B	MW	06:30PM	09:20PM	MM B10	Pittsburgh, Pennsylvania	Spradlin
 	 	 	C	TR	01:30PM	04:20PM	MM B10	Pittsburgh, Pennsylvania	Maurides
60142	Digital Photography I	10.0	A	TR	01:30PM	04:20PM	MM B2	Pittsburgh, Pennsylvania	Vitone
60150	2D Media Studio: Drawing	10.0	A	MW	08:30AM	11:20AM	CFA 313	Pittsburgh, Pennsylvania	Merrell
 	 	 	B	TR	08:30AM	11:20AM	CFA 308	Pittsburgh, Pennsylvania	Johnson
 	 	 	C	TR	08:30AM	11:20AM	CFA 313	Pittsburgh, Pennsylvania	Stigliani
60157	Drawing for Non-Majors	10.0	A	MW	08:30AM	11:20AM	CFA 308	Pittsburgh, Pennsylvania	Kovak
60200	Sophomore Review	0.0	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
60201	Concept Studio: Space and Time	10.0	A	MW	01:30PM	04:20PM	CFA 310	Pittsburgh, Pennsylvania	Rubin
60203	Concept Studio: EcoArt	10.0	A	TR	01:30PM	04:20PM	DH B302	Pittsburgh, Pennsylvania	Bingham
60204	Concept Studio: Networked Narrative	10.0	A	MW	01:30PM	04:20PM	CFA 307	Pittsburgh, Pennsylvania	Duesing
60205	Modern Visual Culture 1789-1960	9.0	A	T	06:30PM	08:50PM	MM 103	Pittsburgh, Pennsylvania	Versari
