Run Date: 27-apr-2014 
Semester: Spring 2014

 
Course	Title	Units	Lec/Sec	Days	Begin	End	Bldg/Room	Location	Instructor(s)
Aerospace Studies-ROTC	 	 	 	 	 	 	 	 	 	 
60703	M.F.A. Studio	12-24	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
60705	M.F.A. Project	36.0	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
60706	M.F.A. Contextual Practice	6.0	A	T	06:30PM	09:20PM	CFA 4TH FL	Pittsburgh, Pennsylvania	Rubin
60711	M.F.A. Thesis Writing Seminar	4.5	A	T	06:30PM	09:20PM	CFA 4TH FL	Pittsburgh, Pennsylvania	Eldridge
60741	Urban Intervention	12.0	A	MW	06:30PM	09:20PM	DH D200	Pittsburgh, Pennsylvania	Momeni
60790	Museums and New Curatorial Production	9.0	A	W	09:00AM	11:20AM	CFA 307	Pittsburgh, Pennsylvania	Instructor TBA
60791	M.F.A. Integrative Seminar	12.0	A	R	06:30PM	09:20PM	CFA 307	Pittsburgh, Pennsylvania	Byers
BXA Intercollege Degree Programs	 	 	 	 	 	 	 	 	 	 
52390	BXA Undergraduate Research Project:	3-12	 	 	 	 	 	 
 	BXA Undergraduate Research Project	 	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Murray
52391	BXA Junior Portfolio Review:	0.0	 	 	 	 	 	 
 	BXA Junior Portfolio Review	 	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Hagan
52399	BXA Interdisciplinary Seminar:	9.0	 	 	 	 	 	 
 	BXA Interdisciplinary Seminar	 	A	M	01:30PM	03:20PM	TBD TBD	Pittsburgh, Pennsylvania	Sciannameo
52400	BXA Capstone Project:	9.0	 	 	 	 	 	 
 	BXA Capstone Project	 	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Murray
52402	BXA Capstone Project II:	9.0	 	 	 	 	 	 
 	BXA Capstone Project II	 	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Murray
52410	BXA Junior Seminar:	9.0	 	 	 	 	 	 
 	BXA Junior Seminar	 	A	F	10:30AM	12:20PM	DNM DNM	Pittsburgh, Pennsylvania	Hagan
52590	BXA Internship:	3-12	 	 	 	 	 	 
 	BXA Internship	 	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Hagan, Murray
Biological Sciences	 	 	 	 	 	 	 	 	 	 
03051	Study Abroad	0.0	A	TBA			TBA	Pittsburgh, Pennsylvania	Braun
03101	Biological Sciences First Year Seminars	3-6	C4	T	01:30PM	02:50PM	MI 150D	Pittsburgh, Pennsylvania	Ho
 	 	 	W3	W	04:30PM	05:50PM	CMB 2049	Doha, Qatar	Gray, Hovis
 	 	 	W4	W	04:30PM	05:50PM	CMB 2049	Doha, Qatar	Gray, Hovis
03116	Phage Genomics Research	6.0	A	TR	01:30PM	04:20PM	BH 140E	Pittsburgh, Pennsylvania	Lopez, Braun
 	 	 	 	TR	01:30PM	04:20PM	DH 2303	Pittsburgh, Pennsylvania	 
03121	Modern Biology	9.0	A	MWF	01:30PM	02:20PM	DH 2210	Pittsburgh, Pennsylvania	Jarvik, Brasier
03124	Modern Biology Laboratory	9.0	Lec	W	03:30PM	04:20PM	DH 1217	Pittsburgh, Pennsylvania	Visomirski-Robic
 	 	 	B	W	06:30PM	09:20PM	DH 2303	Pittsburgh, Pennsylvania	Visomirski-Robic
03132	Basic Science to Modern Medicine	9.0	A	TR	09:00AM	10:20AM	WEH 5202	Pittsburgh, Pennsylvania	McCartney
 	 	 	W	MW	04:30PM	05:50PM	CMB 1031	Doha, Qatar	Bouaouina
03206	Biomedical Engineering Laboratory	9.0	A	MW	01:30PM	02:50PM	EDS 125	Pittsburgh, Pennsylvania	Zapanta
 	 	 	B	TR	10:30AM	11:50AM	EDS 125	Pittsburgh, Pennsylvania	Zapanta
